name,description,author,test_type,test_category,priority,scrum_name,steps,expected_output,automation_status,automation_script_path,automation_author,tag,feature_id
Upload Test 1,Upload Test 1,Snehasish.Das@247.ai,Manual,UI,1,E2E,Login>>Navigate to Assist console>>click on Monitor>>Verify the agent online status,User must be logged in>>Assist console must open>>Monitor tab must open>>Agent must be online,,,,"not to exeucte, release_X",17XYZ3
Upload Test 2,Upload Test 2,Snehasish.Das@247.ai,Automation,UI,1,E2E,Login>>Navigate to Card Designer>>Add Payment Card>>Add fields,User must be logged in>>Card designer page must open>>Must be able to add payment card>>Must be able to update the fields,Ready,./tests/somepath/somescript.ts,Snehasish.Das@247.ai,"not to exeucte, release_X",17XYZ3
Upload Test 3,Upload Test 3,Snehasish.Das@247.ai,Manual,UI,1,E2E,Login>>Navigate to Assist console>>click on Monitor>>Verify the agent online status,User must be logged in>>Assist console must open>>Monitor tab must open>>Agent must be online,,,,"not to exeucte, release_X",17XYZ3
Upload Test 4,Upload Test 4,Snehasish.Das@247.ai,Automation,UI,1,E2E,Login>>Navigate to Card Designer>>Add Payment Card>>Add fields,User must be logged in>>Card designer page must open>>Must be able to add payment card>>Must be able to update the fields,Ready,./tests/somepath/somescript.ts,Snehasish.Das@247.ai,"not to exeucte, release_X",17XYZ3
Upload Test 5,Upload Test 5,Snehasish.Das@247.ai,Manual,UI,1,E2E,Login>>Navigate to Assist console>>click on Monitor>>Verify the agent online status,User must be logged in>>Assist console must open>>Monitor tab must open>>Agent must be online,,,,"not to exeucte, release_X",17XYZ3
Upload Test 6,Upload Test 6,Snehasish.Das@247.ai,Automation,UI,1,E2E,Login>>Navigate to Card Designer>>Add Payment Card>>Add fields,User must be logged in>>Card designer page must open>>Must be able to add payment card>>Must be able to update the fields,Ready,./tests/somepath/somescript.ts,Snehasish.Das@247.ai,"not to exeucte, release_X",17XYZ3
Upload Test 7,Upload Test 7,Snehasish.Das@247.ai,Manual,UI,1,E2E,Login>>Navigate to Assist console>>click on Monitor>>Verify the agent online status,User must be logged in>>Assist console must open>>Monitor tab must open>>Agent must be online,,,,"not to exeucte, release_X",17XYZ3
Upload Test 8,Upload Test 8,Snehasish.Das@247.ai,Automation,UI,1,E2E,Login>>Navigate to Card Designer>>Add Payment Card>>Add fields,User must be logged in>>Card designer page must open>>Must be able to add payment card>>Must be able to update the fields,Ready,./tests/somepath/somescript.ts,Snehasish.Das@247.ai,"not to exeucte, release_X",17XYZ3
Upload Test 9,Upload Test 9,Snehasish.Das@247.ai,Manual,UI,1,E2E,Login>>Navigate to Assist console>>click on Monitor>>Verify the agent online status,User must be logged in>>Assist console must open>>Monitor tab must open>>Agent must be online,,,,"not to exeucte, release_X",17XYZ3
Upload Test 10,Upload Test 10,Snehasish.Das@247.ai,Automation,UI,1,E2E,Login>>Navigate to Card Designer>>Add Payment Card>>Add fields,User must be logged in>>Card designer page must open>>Must be able to add payment card>>Must be able to update the fields,Ready,./tests/somepath/somescript.ts,Snehasish.Das@247.ai,"not to exeucte, release_X",17XYZ3
Upload Test 11,Upload Test 11,Snehasish.Das@247.ai,Manual,UI,1,E2E,Login>>Navigate to Assist console>>click on Monitor>>Verify the agent online status,User must be logged in>>Assist console must open>>Monitor tab must open>>Agent must be online,,,,"not to exeucte, release_X",17XYZ3
